burst,class,3 class,complete,duration,sig_dur,sig_asym,sig_lag,pulse pk flux,sig_pk flux,S(1+2+3),sigS(1+2+3),hr31 (erg),sig hr31 (erg),log10(dur),asymmetry,lag,log10(p256),log10(S),log10(hr31)
BATSE 2640 p03,L,L,?,1.62,0.22,0.077,0.095,1.032,0.131,1.82E-07,1.68E-08,2.801,0.491,0.209515015,0.816,0.14,-0.881396415,-6.739451627,0.447313109
BATSE 2640 p04,L,L,?,6.09,0.57,0.029,0.14,0.759,0.1,6.03E-07,2.88E-08,3.012,0.337,0.784617293,0.939,0.02,-0.998689528,-6.219898809,0.478854968
BATSE 2641 p01,L,X,C,5.36,0.54,0.054,0.548,0.252,0.072,2.67E-07,2.02E-08,4.764,0.805,0.72916479,0.655,0.469,-1.140949521,-6.573976984,0.677971753
BATSE 2660 p01,L,L,I,9.32,0.72,0.094,0.217,0.681,0.112,6.71E-07,3.16E-08,4.524,0.489,0.969415912,0.88,1.5,-0.950940612,-6.173601218,0.655522596
BATSE 2660 p02,L,L,I,10.06,0.9,0.087,0.374,0.511,0.087,5.04E-07,2.31E-08,0.743,0.097,1.002597981,0.893,1.88,-1.058480361,-6.298000525,-0.129011186
BATSE 2662 p01,L,L,C,19.43,1.04,0.011,0.393,1.136,0.144,2.04E-06,5.55E-08,4.004,0.236,1.288472801,0.989,1.212,-0.841169437,-5.691222226,0.602494069
BATSE 2665 p01,L,L,C,20.68,1.11,0.011,0.381,1.519,0.168,2.11E-06,5.14E-08,1.525,0.088,1.315550534,0.986,1.238,-0.775645887,-5.675306086,0.183269844
BATSE 2671 p01,L,X,C,21.57,1.43,0.023,0.875,0.209,0.064,7.15E-07,2.99E-08,1.57,0.156,1.333850145,0.564,2.657,-1.193389981,-6.145815456,0.195899652
BATSE 2677 p01,T,X,C,2.91,0.34,0.06,0.307,0.402,0.088,1.75E-07,1.64E-08,4.334,0.881,0.463892989,0.8,0.31,-1.056557836,-6.757955761,0.636888907
BATSE 2680 p01,L,I,?,4.63,0.44,0.031,0.188,0.008,0.001,2.86E-07,1.89E-08,1.636,0.261,0.665580991,0.982,0.15,-2.910731227,-6.543785845,0.213783299
BATSE 2681 p01,L,L,?,9.67,0.76,0.019,0.421,0.659,0.079,9.92E-07,4.13E-08,8.81,0.842,0.985426474,0.467,0.67,-1.099766114,-6.003313244,0.944975908
BATSE 2681 p02,L,L,?,7.98,0.56,0.045,0.376,0.49,0.063,3.96E-07,2.46E-08,7.066,1.109,0.902002891,0.991,-0.32,-1.198990472,-6.40263395,0.849173633
BATSE 2681 p03,L,L,?,1.24,0.22,0.011,0.326,0.506,0.065,1.17E-07,1.45E-08,14.938,4.865,0.093421685,0.212,0.34,-1.188399849,-6.931443105,1.174292455
BATSE 2681 p04,L,L,?,2.05,0.3,0.008,0.394,0.498,0.064,1.49E-07,1.55E-08,5.471,1.221,0.311753861,0.204,-0.25,-1.193659512,-6.827689031,0.738066715
BATSE 2681 p05,L,L,?,9.57,0.77,0.007,0.222,1.105,0.121,1.71E-06,5.41E-08,10.351,0.801,0.980911938,0.33,0.15,-0.915509029,-5.768275617,1.014982309
BATSE 2681 p06,L,L,?,5.81,0.33,0.051,0.4,0.852,0.098,3.23E-07,2.33E-08,6.939,1.093,0.764176132,0.986,0.04,-1.009918105,-6.491470281,0.841296887
BATSE 2681 p07,L,L,?,2.8,0.38,0.095,0.323,1.161,0.127,5.75E-07,3.11E-08,10.771,1.48,0.447158031,0.921,-0.13,-0.897130687,-6.240483241,1.032256026
BATSE 2681 p08,L,L,?,3.54,0.44,0.056,0.344,0.924,0.105,6.36E-07,3.40E-08,13.863,1.858,0.549003262,0.88,0.37,-0.980698708,-6.196406335,1.141857223
BATSE 2688 p01,L,L,C,24.8,1.26,0.012,0.757,0.832,0.125,1.87E-06,5.27E-08,3.586,0.218,1.394451681,0.992,0.78,-0.901512376,-5.728855682,0.554610285
BATSE 2695 p01,L,X,C,74,2.58,0.034,1.116,0.266,0.064,2.30E-06,5.82E-08,2.932,0.154,1.86923172,0.899,5.88,-1.194820361,-5.637894681,0.467163966
BATSE 2696 p01,L,L,?,57.55,2.39,0.007,0.672,0.814,0.115,5.84E-06,9.03E-08,2.74,0.094,1.760045328,0.673,1.72,-0.940646361,-5.233661525,0.437750563
BATSE 2697 p01,L,L,C,13.43,0.93,0.02,0.218,0.83,0.11,1.19E-06,3.99E-08,1.943,0.144,1.128076013,0.865,0.27,-0.956924783,-5.924818145,0.288472801
BATSE 2709 p01,L,L,C,11.72,1.75,0.031,0.107,0.308,0.042,1.04E-06,2.92E-08,0.322,0.057,1.068927612,0.785,0.25,-1.373724168,-5.984640245,-0.492144128
BATSE 2709 p02,L,L,C,22.37,3.07,0.02,0.465,0.171,0.029,2.28E-06,6.04E-08,5.016,0.282,1.349665984,0.611,3.68,-1.537586433,-5.642636969,0.700357528
BATSE 2711 p01,L,L,I,16.01,1.02,0.021,0.256,0.598,0.093,1.24E-06,4.20E-08,3.083,0.233,1.204391332,0.853,2.83,-1.031812823,-5.905528871,0.488973525
BATSE 2711 p02,L,L,I,51.59,2.04,0.041,1.311,0.15,0.031,8.12E-07,3.13E-08,1.493,0.145,1.712565528,0.954,5.23,-1.511263221,-6.090550953,0.174059808
BATSE 2719 p01,L,L,?,0.938,0.19,0.008,0.134,0.842,0.105,1.47E-07,1.52E-08,4.167,0.883,-0.027797162,0.272,0.01,-0.977903067,-6.833273944,0.6198235
BATSE 2719 p02,L,L,?,3.56,0.36,0.099,0.384,0.246,0.039,7.49E-08,8.48E-09,0.509,0.191,0.551449998,0.985,0.301,-1.412769557,-7.125344267,-0.293282218
BATSE 2719 p03,L,L,?,0.382,0.11,0.006,0.153,0.858,0.107,7.68E-08,1.18E-08,11.815,4.333,-0.417936637,0.188,0.05,-0.970805671,-7.114412644,1.072433726
BATSE 2725 p01,L,X,C,6.64,0.55,0.075,1.392,0.322,0.083,2.20E-07,1.93E-08,10.536,2.304,0.822168079,0.976,-0.57,-1.081242672,-6.657577319,1.022675762
BATSE 2727 p01,L,X,C,12.11,,-0.352,0.709,0.216,0.061,,,,,1.083144143,0.645,-0.6,-1.215419604,,
