burst,class,3 class,complete,duration,sig_dur,sig_asym,sig_lag,pulse pk flux,sig_pk flux,S(1+2+3),sigS(1+2+3),hr31 (erg),sig hr31 (erg),log10(dur),asymmetry,lag,log10(p256),log10(S),log10(hr31)
BATSE 1311 p04,M,X,C,3.93,0.55,0.064,0.496,0.249,0.063,2.15E-07,1.74E-08,2.699,0.478,0.59439255,0.672,0.43,-1.20157469,-6.668572703,0.431202885
BATSE 1311 p05,M,X,C,2.15,,0.186,,0.159,0.042,,,,,0.33243846,0.917,,-1.374202801,,
BATSE 1311 p06,M,X,C,1.36,0.22,0.018,1.447,0.199,0.052,3.30E-08,5.92E-09,1.164,0.66,0.133538908,0.241,0.2,-1.288121859,-7.481617684,0.06595298
BATSE 1311 p07,M,X,C,5.09,0.46,0.167,1.249,0.162,0.043,9.92E-08,1.12E-08,2.277,0.652,0.706717782,0.894,0.1,-1.366925297,-7.003575896,0.357363031
BATSE 1311 p08,M,X,C,2.96,0.36,0.125,0.958,0.165,0.044,6.69E-08,9.18E-09,1.892,0.635,0.471291711,0.971,0.37,-1.359770661,-7.17450897,0.276921132
BATSE 1311 p09,M,X,C,17.64,1.03,0.071,2.351,0.14,0.038,2.45E-07,1.57E-08,0.603,0.12,1.246498581,0.932,0.87,-1.420712685,-6.610479534,-0.219682688
BATSE 1311 p10,M,X,C,6.88,0.66,0.012,0.625,0.249,0.063,2.53E-07,1.74E-08,1.506,0.266,0.837588438,0.325,0.3,-1.20157469,-6.597051171,0.177824972
BATSE 1318 p01,L,L,C,5.17,,0,,0.396,0.106,,,,,0.713490543,0.045,,-0.974200004,,
BATSE 1318 p02,L,L,C,4.17,0.51,0.02,0.525,0.5,0.131,1.92E-07,1.70E-08,4.498,0.896,0.620136055,0.356,0.27,-0.884069308,-6.717377887,0.653019451
BATSE 1318 p03,L,L,C,4.36,0.46,0.077,0.467,0.59,0.152,1.59E-07,1.42E-08,1.889,0.404,0.639486489,0.86,0.45,-0.818847933,-6.799696817,0.276231958
BATSE 1318 p04,L,L,C,8.14,0.74,0.024,0.647,0.319,0.088,1.74E-07,1.45E-08,1.403,0.292,0.910624405,0.366,-1.58,-1.055004686,-6.760450279,0.147057671
BATSE 1319 p01,M,X,C,8.6,0.69,0.04,0.273,0.363,0.072,4.64E-07,2.31E-08,1.13,0.147,0.934498451,0.918,-0.128,-1.142336679,-6.333201316,0.053078443
BATSE 1328 p01,M,X,?,23.87,1.19,0.017,0.457,0.61,0.09,1.43E-06,4.42E-08,2.655,0.188,1.377852419,0.985,1.78,-1.04525109,-5.845880474,0.424064525
BATSE 1328 p02,M,X,?,15.51,1.19,0.053,0.955,0.154,0.031,2.82E-07,1.70E-08,0.761,0.142,1.190611798,0.575,-0.04,-1.507449756,-6.550059011,-0.118615343
BATSE 1328 p03,M,X,?,4.43,0.46,0.019,0.243,0.646,0.095,3.00E-07,1.95E-08,1.746,0.269,0.646403726,0.329,0.31,-1.024293181,-6.523603173,0.242044239
BATSE 1328 p04,M,X,?,6.99,0.59,0.032,0.165,0.768,0.11,5.23E-07,2.57E-08,1.695,0.198,0.844477176,0.975,0.2,-0.959142175,-6.281332265,0.229169703
BATSE 1346 p01,L,I,C,0.64,0.12,0.13,0.236,1.469,0.19,1.68E-07,1.72E-08,13.807,3.703,-0.193820026,0.988,0.04,-0.722291652,-6.775466937,1.140099325
BATSE 1346 p02,L,I,C,0.68,0.15,0.085,0.187,0.833,0.112,1.15E-07,1.36E-08,5.641,1.452,-0.167491087,0.804,-0.1,-0.950816909,-6.940436582,0.7513561
BATSE 1346 p03,L,I,C,0.42,,0.004,0.112,0.335,0.051,,,,,-0.37675071,0.974,0.13,-1.294141167,,
BATSE 1346 p04,L,I,C,0.38,0.12,0.013,0.286,0.924,0.123,1.04E-07,1.35E-08,8.601,2.461,-0.420216403,0.155,-0.03,-0.909614034,-6.984221244,0.934548948
BATSE 1346 p05,L,I,C,1.65,0.1,0.228,0.177,0.692,0.095,6.22E-08,1.04E-08,8.963,3.418,0.217483944,0.238,0.01,-1.023455265,-7.206139799,0.952453396
BATSE 1346 p06,L,I,C,0.35,0.21,0.1,0.108,0.335,0.051,1.01E-07,1.36E-08,17.654,6.529,-0.455931956,0.993,0,-1.294141167,-6.994819487,1.246843122
BATSE 1365 p01,L,X,I,9.53,0.78,0.077,0.921,0.208,0.04,2.78E-07,2.10E-08,6.184,1.064,0.979092901,0.746,0.28,-1.402967393,-6.55642412,0.791269481
BATSE 1365 p02,L,X,I,24.93,1.39,0.309,0.885,0.315,0.054,1.01E-06,3.95E-08,5.269,0.468,1.396722279,0.709,-1.05,-1.27004842,-5.995678626,0.721728199
BATSE 1365 p03,L,X,I,34.65,1.75,0.075,1.926,0.149,0.031,7.76E-07,3.58E-08,9.985,1.173,1.539703239,0.95,-1.73,-1.504753684,-6.110418198,0.999348069
BATSE 1365 p04,L,X,I,134.32,0.41,0.062,0.373,0.463,0.073,2.35E-07,1.97E-08,7.843,1.529,2.128140683,0.905,-0.32,-1.136866762,-6.628193541,0.894482215
BATSE 1379 p01,M,X,C,2.81,0.35,0.036,0.382,0.368,0.094,2.18E-07,1.43E-08,0.455,0.102,0.44870632,0.861,-0.01,-1.027260689,-6.660747366,-0.341988603
BATSE 1382 p01,L,X,C,8.89,0.82,0.058,0.46,0.289,0.077,4.59E-07,2.72E-08,4.848,0.598,0.948901761,0.836,-0.451,-1.111670047,-6.338187314,0.685562611
BATSE 1384 p01,L,L,I,5.78,,0.014,,0.347,0.064,,,,,0.761927838,0.275,,-1.190899136,,
BATSE 1384 p02,L,L,I,4.3,,0.095,,0.425,0.076,,,,,0.633468456,0.978,,-1.120299575,,
BATSE 1384 p03,L,L,I,1.56,,0.002,,0.246,0.049,,,,,0.193124598,0.062,,-1.307275285,,
BATSE 1384 p04,L,L,I,5.03,0.53,0.001,0.246,0.82,0.133,4.99E-07,2.80E-08,4.806,0.577,0.701567985,0.098,-0.58,-0.875293712,-6.302247726,0.681783766
BATSE 1384 p05,L,L,I,1.11,0.19,0.1,0.262,0.772,0.126,8.81E-08,1.17E-08,5.044,1.48,0.045322979,0.813,0.07,-0.898619959,-7.054974799,0.702775078
BATSE 1384 p06,L,L,I,6.28,0.57,0.002,1.078,0.333,0.062,1.76E-07,1.45E-08,1.746,0.381,0.797959644,0.1,0.74,-1.205604903,-6.755722879,0.242044239
BATSE 1384 p07,L,L,I,0.62,0.15,0.004,0.302,0.511,0.089,3.31E-08,6.73E-09,1.811,0.769,-0.207608311,0.104,-0.08,-1.053032478,-7.480303233,0.25791845
BATSE 1388 p01,M,X,I,1.78,0.25,0.039,0.16,1.059,0.142,2.19E-07,1.82E-08,5.314,1.041,0.250420002,0.295,0.04,-0.847392375,-6.659952682,0.72542155
BATSE 1388 p02,M,X,I,2.32,0.36,0.127,0.105,1.226,0.162,4.11E-07,2.42E-08,3.44,0.46,0.365487985,0.546,0.16,-0.790442206,-6.386052523,0.536558443
BATSE 1390 p01,L,X,C,26.23,1.36,0.049,1.033,0.044,0.015,7.48E-07,3.47E-08,6.929,0.746,1.418798291,0.93,1.24,-1.813437983,-6.126330707,0.840670561
BATSE 1396 p01,L,L,I,1.73,0.28,0.036,0.219,0.664,0.084,1.57E-07,1.50E-08,3.395,0.727,0.238046103,0.471,0.09,-1.074648116,-6.805208242,0.530839779
BATSE 1396 p02,L,L,I,1.75,0.25,0.04,0.131,1.32,0.151,3.07E-07,2.22E-08,6.412,1.05,0.243038049,0.946,-0.19,-0.821903373,-6.513569521,0.806993514
BATSE 1396 p03,L,L,I,2.18,0.32,0.037,0.294,0.452,0.062,1.31E-07,1.38E-08,3.552,0.833,0.338456494,0.429,-0.02,-1.2058269,-6.883724412,0.550472957
BATSE 1396 p04,L,L,I,0.81,0.17,0.063,0.144,1.039,0.122,1.12E-07,1.27E-08,3.68,0.959,-0.091514981,0.724,0.07,-0.912430392,-6.951946827,0.565847819
BATSE 1396 p05,L,L,I,1.39,0.28,0.077,0.205,0.643,0.082,1.35E-07,1.33E-08,2.653,0.644,0.1430148,0.747,0.19,-1.085574303,-6.868702203,0.42373725
BATSE 1396 p06,L,L,I,3.04,0.38,0.025,0.163,0.758,0.094,3.28E-07,2.29E-08,5.414,0.822,0.482873584,0.528,0.09,-1.027809738,-6.484391051,0.733518251
BATSE 1406 p01,L,L,C,26.82,1.34,0.006,0.328,1.666,0.156,5.25E-06,8.80E-08,3.619,0.133,1.428458774,0.944,2.06,-0.805921182,-5.280171714,0.558588583
BATSE 1413 p01,L,X,I,3.61,0.44,0.059,0.192,0.409,0.062,2.29E-07,1.91E-08,4.834,0.854,0.557507202,0.361,0.2,-1.210506863,-6.640354207,0.684306646
BATSE 1413 p02,L,X,I,1.23,0.2,0.024,0.339,0.846,0.113,1.45E-07,1.54E-08,6.383,1.492,0.089905111,0.832,-0.04,-0.948817967,-6.837734386,0.805024844
BATSE 1413 p03,L,X,I,11.26,0.85,0.011,0.55,0.311,0.05,5.43E-07,3.00E-08,7.325,0.918,1.051538391,0.353,0.1,-1.302543574,-6.264960295,0.864807629
BATSE 1416 p01,L,I,C,2.54,0.33,0.034,0.085,0.872,0.093,3.54E-07,2.21E-08,2.377,0.326,0.404833717,0.935,-0.09,-1.031157726,-6.450874073,0.376029182
BATSE 1416 p02,L,I,C,0.48,0.08,0.1,0.03,2.089,0.204,9.45E-08,1.18E-08,4.63,1.353,-0.318758763,1,0.01,-0.691059014,-7.024752059,0.665580991
BATSE 1419 p01,L,L,C,11.6,0.85,0.017,0.025,3.593,0.194,5.33E-06,9.29E-08,6.684,0.265,1.064457989,0.509,-0.28,-0.711622478,-5.273028416,0.825036441
BATSE 1419 p02,L,L,C,8.61,0.75,0.037,0.037,2.477,0.146,2.78E-06,6.58E-08,4.348,0.218,0.935003151,0.706,0.13,-0.835253848,-5.555330769,0.638289535
BATSE 1419 p03,L,L,C,17.96,1.03,0.012,0.178,2.379,0.142,4.30E-06,8.00E-08,3.692,0.149,1.254306332,0.966,0.7,-0.84819709,-5.366834646,0.567261692
BATSE 1422 p01,L,X,I,2.84,0.39,0.001,1.292,1.452,0.157,5.60E-07,2.95E-08,5.313,0.632,0.45331834,0.034,-0.12,-0.80352005,-6.251656896,0.725339816
BATSE 1422 p02,L,X,I,10.15,,0,,0.768,0.093,,,,,1.006466042,0.061,,-1.032834141,,
BATSE 1422 p03,L,X,I,3.94,0.46,0.001,0.151,1.089,0.123,4.35E-07,2.34E-08,1.758,0.228,0.595496222,0.107,-0.23,-0.909511071,-6.361610592,0.245018871
BATSE 1422 p04,L,X,I,8.14,0.71,0,0.422,0.61,0.077,4.63E-07,2.39E-08,1.469,0.183,0.910624405,0.057,0.12,-1.110789057,-6.334512819,0.167021796
BATSE 1422 p05,L,X,I,5.14,0.41,0,0.213,0.912,0.106,2.75E-07,1.78E-08,1.16,0.196,0.710963119,1,-0.01,-0.97283668,-6.560667306,0.064457989
BATSE 1422 p06,L,X,I,6.57,0.66,0.042,0.252,0.884,0.104,5.60E-07,2.55E-08,1.06,0.121,0.81756537,0.862,0.12,-0.983784457,-6.252122294,0.025305865
BATSE 1425 p01,L,L,I,1.95,0.24,0.043,0.035,1.5,0.103,1.94E-07,1.56E-08,1.701,0.329,0.290034611,0.995,-0.01,-0.988248432,-6.711527199,0.230704314
BATSE 1425 p02,L,L,I,1.99,0.27,0.134,0.073,2.763,0.156,5.13E-07,2.76E-08,3.331,0.381,0.298853076,0.931,0.07,-0.806802451,-6.29030613,0.522574633
BATSE 1430 p01,M,X,C,3.184,0.26,0.025,0.322,0.622,0.137,1.39E-07,1.33E-08,4.414,1.249,0.502973059,0.559,-0.446,-0.862540446,-6.857610534,0.644832329
BATSE 1432 p01,L,X,C,57.29,2.32,0.028,0.915,0.266,0.067,2.28E-06,5.39E-08,1.713,0.095,1.758078822,0.857,3.92,-1.173548559,-5.642255675,0.233757363
BATSE 1439 p01,L,X,C,3.34,0.4,0.072,0.276,0.387,0.114,1.86E-07,1.59E-08,2.109,0.392,0.523746467,0.93,-0.07,-0.942188486,-6.731656086,0.32407658
BATSE 1440 p01,L,L,I,2.2,0.3,0.021,0.046,2.627,0.125,8.55E-07,3.66E-08,5.418,0.519,0.342422681,0.806,0.03,-0.903670705,-6.068135487,0.733839001
BATSE 1440 p02,L,L,I,3.04,0.37,0.042,0.112,1.055,0.069,3.89E-07,2.28E-08,2.229,0.297,0.482873584,0.822,0.01,-1.158835973,-6.410385459,0.348110068
BATSE 1443 p01,L,I,C,1.16,0.22,0.017,0.028,4.549,0.278,7.22E-07,3.45E-08,5.757,0.582,0.064457989,0.447,0.09,-0.555236461,-6.141222263,0.760196229
BATSE 1443 p02,L,I,C,1.24,0.2,0.012,0.094,2.455,0.167,3.24E-07,2.23E-08,10.02,1.954,0.093421685,0.294,0.18,-0.776675453,-6.489186989,1.000867722
BATSE 1443 p03,L,I,C,0.78,0.16,0.028,0.052,2.679,0.179,2.30E-07,1.87E-08,4.729,0.862,-0.107905397,0.817,0.04,-0.746525182,-6.637517525,0.674769314
BATSE 1446 p01,L,X,I,30.47,1.63,0.002,0.713,0.278,0.074,1.56E-06,4.88E-08,4.13,0.278,1.483872454,0.219,3.47,-1.132709073,-5.80631897,0.615950052
BATSE 1447 p01,L,L,C,8.72,0.74,0.007,0.123,1.556,0.168,3.47E-06,7.85E-08,13.06,0.749,0.940516485,0.357,-0.07,-0.775571224,-5.460171442,1.115943177
BATSE 1447 p02,L,L,C,37.1,1.7,0.042,0.622,0.601,0.072,3.97E-06,7.72E-08,4.597,0.203,1.56937391,0.897,2.88,-1.140976608,-5.401756808,0.662474504
BATSE 1449 p01,L,L,I,21.41,1.19,0.05,0.748,0.383,0.058,1.01E-06,4.09E-08,7.511,0.697,1.330616667,0.904,0.58,-1.240029095,-5.995678626,0.875697762
BATSE 1449 p02,L,L,I,2.55,0.34,0.003,0.215,0.916,0.115,3.47E-07,2.44E-08,9.778,1.646,0.40654018,0.175,0.18,-0.937934469,-6.459670525,0.990250033
BATSE 1449 p03,L,L,I,8.4,0.61,0.055,0.477,0.329,0.052,2.66E-07,2.01E-08,4.785,0.82,0.924279286,0.989,0.45,-1.287910478,-6.574628834,0.679881942
BATSE 1449 p04,L,L,I,1.52,0.25,0.013,0.285,0.609,0.082,1.28E-07,1.43E-08,5.619,1.371,0.181843588,0.298,0.08,-1.083926922,-6.893469146,0.749659032
BATSE 1449 p05,L,L,I,1.57,0.23,0.105,0.414,0.503,0.071,8.87E-08,1.19E-08,6.111,1.86,0.195899652,0.954,-0.06,-1.149904539,-7.052272273,0.786112284
BATSE 1449 p06,L,L,I,4.81,0.5,0.006,0.351,0.396,0.059,2.29E-07,1.85E-08,4.355,0.796,0.682145076,0.155,0.18,-1.228932928,-6.639974911,0.638988159
BATSE 1449 p07,L,L,I,1.85,0.28,0.105,0.293,0.445,0.064,9.12E-08,1.11E-08,2.444,0.675,0.267171728,0.914,0.25,-1.190744886,-7.040052784,0.388101202
BATSE 1452 p01,L,L,C,20.2,1.03,0.021,0.558,0.475,0.1,1.41E-06,4.60E-08,4.022,0.288,1.305351369,0.99,1.261,-1.001144872,-5.850780887,0.604442066
BATSE 1456 p01,L,X,C,33.79,1.55,0.027,0.791,0.306,0.083,1.14E-06,3.97E-08,2.149,0.159,1.528788192,0.961,-0.04,-1.082207405,-5.944239535,0.332236415
BATSE 1458 p01,L,X,C,11.73,0.78,0.078,0.396,0.369,0.082,6.38E-07,3.15E-08,3.206,0.309,1.069298012,0.758,1.986,-1.088789765,-6.194975156,0.505963518
BATSE 1458 p02,L,X,C,23.44,1.44,0.049,0.855,0.221,0.051,8.23E-07,3.13E-08,1.842,0.19,1.369957607,0.867,2.157,-1.288601346,-6.084494638,0.265289626
BATSE 1465 p01,M,X,C,13.32,,0.084,,0.123,0.047,,,,,1.124504225,0.836,,-1.329843724,,
BATSE 1466 p01,M,X,C,13.07,0.92,0.051,0.496,0.47,0.066,9.67E-07,3.95E-08,5.305,0.46,1.116275588,0.823,-0.14,-1.182354364,-6.014528617,0.724685388
BATSE 1466 p02,M,X,C,21.6,1.08,0.018,0.481,0.804,0.103,2.40E-06,6.42E-08,9.423,0.594,1.334453751,0.979,-0.29,-0.98779656,-5.619788758,0.974189191
BATSE 1466 p03,M,X,C,2.08,0.28,0.065,0.362,0.441,0.062,1.40E-07,1.54E-08,5.926,1.34,0.318063335,0.672,0.17,-1.204273218,-6.853251986,0.772761647
BATSE 1467 p01,L,L,C,18.62,1.12,0.008,0.214,1.873,0.16,4.30E-06,8.06E-08,4.024,0.163,1.269979677,0.842,0.75,-0.796045504,-5.366935727,0.604657972
BATSE 1468 p01,L,L,I,1.82,0.23,0.076,0.118,1.188,0.092,3.41E-07,2.51E-08,20.997,4.5,0.260071388,0.938,-0.27,-1.035489404,-6.467245621,1.322157248
BATSE 1468 p02,L,L,I,1.26,0.19,0.041,0.212,1.055, ,2.29E-07,2.05E-08,13.946,3.109,0.100370545,0.551,0.13,,-6.640733835,1.144449661
BATSE 1468 p03,L,L,I,0.52,0.13,0.066,0.41,0.568,0.055,5.78E-08,9.92E-09,7.407,2.781,-0.283996656,0.453,-0.12,-1.263017016,-7.238448011,0.869642345
BATSE 1468 p04,L,L,I,1.07,0.17,0.043,0.078,1.752,0.125,2.78E-07,2.21E-08,10.287,1.922,0.029383778,0.958,0.04,-0.904033456,-6.555330769,1.01228874
BATSE 1468 p05,L,L,I,0.91,0.16,0.097,0.104,1.023,0.082,1.46E-07,1.59E-08,9.211,2.307,-0.040958608,0.864,-0.08,-1.083811133,-6.835944708,0.964306782
BATSE 1468 p06,L,L,I,1.29,,0.108,,0.803,0.069,,,,,0.11058971,0.953,,-1.159927296,,
BATSE 1468 p07,L,L,I,1.03,0.17,0.05,0.142,1.013,0.082,1.68E-07,1.72E-08,10.355,2.495,0.012837225,0.622,-0.07,-1.08711009,-6.773657913,1.015150103
BATSE 1468 p08,L,L,I,0.41,0.1,0.082,0.248,0.466,0.048,3.17E-08,7.38E-09,14.938,9.73,-0.387216143,0.395,-0.04,-1.319148558,-7.499351937,1.174292455
BATSE 1468 p09,L,L,I,2.25,0.3,0.062,0.205,0.578,0.055,2.13E-07,1.90E-08,6.328,1.183,0.352182518,0.483,0.02,-1.257702075,-6.6712128,0.80126647
BATSE 1469 p01,M,X,C,1.308,0.22,0.052,0.227,0.664,0.114,1.03E-07,1.24E-08,3.457,0.888,0.116607744,0.616,0.173,-0.942306233,-6.986320303,0.53869938
BATSE 1469 p02,M,X,C,5.649,0.59,0.002,0.317,0.5,0.089,3.61E-07,2.28E-08,3.098,0.428,0.751971575,0.128,0.38,-1.05027446,-6.442974278,0.491081413
BATSE 1469 p03,M,X,C,6.897,0.65,0.015,0.243,0.686,0.118,6.23E-07,3.09E-08,4.24,0.453,0.838660226,0.503,0.232,-0.92993558,-6.205302873,0.627365857
BATSE 1469 p04,M,X,C,5.346,0.58,0.002,0.716,0.272,0.054,1.63E-07,1.44E-08,1.511,0.308,0.728028954,0.103,0.138,-1.270625792,-6.787812396,0.179264464
BATSE 1469 p05,M,X,C,5.351,0.56,0.037,0.464,0.393,0.072,2.12E-07,1.59E-08,1.249,0.231,0.728434951,0.573,-0.052,-1.140034478,-6.673664139,0.096562438
BATSE 1472 p01,L,L,C,20.98,1.2,0.009,0.269,1.225,0.137,3.19E-06,6.85E-08,3.608,0.17,1.321805484,0.882,1.091,-0.864470741,-5.496481687,0.557266529
BATSE 1473 p01,L,X,C,9.14,0.73,0,0.013,9.871,0.285,1.26E-05,1.47E-07,9.492,0.262,0.960946196,0.124,0.28,-0.544853712,-4.900664722,0.97735773
BATSE 1473 p02,L,X,C,6.54,0.54,0.011,0.014,10.525,0.299,7.88E-06,1.15E-07,8.573,0.293,0.815577748,0.972,0.18,-0.524504435,-5.103253384,0.933132824
BATSE 1473 p03,L,X,C,5.54,0.52,0.015,0.005,21.507,0.521,1.49E-05,1.56E-07,8.073,0.203,0.743509765,0.627,0,-0.282937089,-4.827981191,0.907034952
BATSE 1473 p04,L,X,C,12.1,0.86,0.014,0.052,5.473,0.19,7.54E-06,1.08E-07,4.294,0.132,1.08278537,0.848,0.86,-0.721844045,-5.122686257,0.63286204
BATSE 1473 p05,L,X,C,4.72,0.52,0.024,0.009,10.954,0.308,8.13E-06,1.19E-07,8.403,0.27,0.673941999,0.552,0.26,-0.511734652,-5.09006974,0.924434364
BATSE 1515 p01,L,L,C,25.49,1.32,0.017,0.433,0.632,0.103,2.76E-06,6.68E-08,5.31,0.273,1.406369835,0.922,1.15,-0.985758099,-5.558619115,0.725094521
BATSE 1540 p01,L,L,C,9.23,0.76,0.015,0.592,0.287,0.054,3.08E-07,2.11E-08,3.878,0.61,0.965201701,0.368,1.35,-1.264257651,-6.512013669,0.588607805
BATSE 1540 p02,L,L,C,15.39,1.01,0.173,0.938,0.22,0.044,3.48E-07,2.15E-08,3.418,0.543,1.18723862,0.915,-0.79,-1.353084835,-6.458545571,0.533772058
BATSE 1540 p03,L,L,C,5.85,0.58,0.027,0.463,0.328,0.06,2.39E-07,1.92E-08,4.196,0.72,0.767155866,0.303,-0.58,-1.219089362,-6.621965678,0.62283548
BATSE 1540 p04,L,L,C,6.54,0.6,0.066,0.393,0.489,0.084,4.26E-07,2.66E-08,7.763,1.114,0.815577748,0.859,-0.51,-1.076014399,-6.370386555,0.890029586
BATSE 1540 p05,L,L,C,3.28,0.37,0.06,0.729,0.301,0.056,1.27E-07,1.47E-08,9.959,2.786,0.515873844,0.563,0.71,-1.248635835,-6.897566294,0.998215732
BATSE 1540 p06,L,L,C,1.47,0.19,0.002,0.403,0.556,0.094,6.78E-08,1.02E-08,7.741,3.024,0.167317335,1,-0.13,-1.028359183,-7.168514161,0.888797067
BATSE 1540 p07,L,L,C,9.02,0.74,0.324,0.448,0.458,0.079,5.54E-07,3.02E-08,7.22,0.899,0.955206538,0.143,0.25,-1.100247914,-6.256803919,0.858537198
BATSE 1551 p01,L,X,C,15.52,,0.048,,0.353,0.079,,,,,1.190891717,0.833,,-1.102353537,,
BATSE 1552 p01,L,X,C,56.76,2.19,0.03,1.213,0.161,0.048,1.27E-06,4.11E-08,2.026,0.148,1.754042387,0.951,4.918,-1.31497783,-5.897566294,0.306639441
BATSE 1558 p01,L,X,C,17.94,1.2,0.046,0.698,0.199,0.059,6.18E-07,3.01E-08,2.755,0.276,1.253822439,0.923,0.401,-1.226776957,-6.209222399,0.440121603
BATSE 1559 p01,L,L,C,46.91,1.85,0.011,0.785,0.675,0.111,3.16E-06,7.11E-08,6.226,0.317,1.671265433,0.976,1.528,-0.954703983,-5.500450374,0.794209116
BATSE 1561 p01,L,L,?,35.24,,0.019,0.474,0.635,0.116,,,,,1.5470359,0.805,5.73,-0.934781818,,
BATSE 1567 p01,L,X,C,21.44,1.13,0.073,0.509,0.264,0.058,9.57E-07,3.80E-08,4.152,0.361,1.331224781,0.915,1.08,-1.236708247,-6.019315026,0.618257345
BATSE 1567 p02,L,X,C,4.17,,0.043,,0.214,0.048,,,,,0.620136055,0.451,,-1.317120465,,
BATSE 1578 p01,L,L,?,11.99,0.88,0.025,0.223,1.477,0.117,2.10E-06,5.76E-08,5.354,0.323,1.078819183,0.909,0.51,-0.930902968,-5.678608722,0.728678367
BATSE 1578 p02,L,L,?,19.82,1.03,0.007,0.258,2.685,0.187,5.01E-06,8.96E-08,5.664,0.222,1.29710365,0.983,0.84,-0.727566203,-5.300422409,0.753123245
BATSE 1578 p03,L,L,?,9.59,0.72,0.025,0.184,1.033,0.091,9.56E-07,3.70E-08,4.04,0.369,0.981818607,0.982,0.39,-1.0432418,-6.019451261,0.606381365
BATSE 1579 p01,L,L,I,0.32,0.09,0.012,0.385,0.684,0.068,3.19E-08,7.34E-09,5.602,2.603,-0.494850022,0.174,0.07,-1.1692351,-7.496890563,0.748343104
BATSE 1579 p02,L,L,I,1.89,0.23,0.056,0.071,2.779,0.198,6.23E-07,3.35E-08,14.444,2.013,0.276461804,0.966,0.06,-0.703913901,-6.205651396,1.15968748
BATSE 1579 p03,L,L,I,0.81,0.15,0.006,0.174,1.243,0.104,1.54E-07,1.70E-08,14.033,3.757,-0.091514981,0.146,0.07,-0.983668252,-6.81276138,1.147150525
BATSE 1579 p04,L,L,I,0.43,0.11,0.053,0.135,1.471,0.118,1.03E-07,1.35E-08,12.901,4.272,-0.366531544,0.466,-0.01,-0.927911278,-6.987162775,1.110623375
BATSE 1579 p05,L,L,I,0.41,0.11,0.002,0.071,3.11,0.218,1.95E-07,1.86E-08,12.222,2.881,-0.387216143,0.155,0.01,-0.66219722,-6.709297757,1.087142279
BATSE 1579 p06,L,L,I,0.27,0.08,0.012,0.15,0.843,0.078,2.95E-08,6.81E-09,3.667,1.685,-0.568636236,0.192,0.01,-1.106406901,-7.530325227,0.56431091
BATSE 1579 p07,L,L,I,6.55,0.59,0.002,0.268,0.753,0.072,7.37E-07,3.59E-08,11.365,1.359,0.8162413,0.146,0.05,-1.140719216,-6.132768285,1.05556944
BATSE 1580 p01,L,L,C,16.19,0.88,0.012,0.346,0.266,0.032,1.49E-06,4.95E-08,6.595,0.485,1.209246849,0.995,-0.37,-1.489394743,-5.825649403,0.8192148
BATSE 1586 p01,L,L,I,13.31,,0.189,1.014,0.294,0.056,,,,,1.124178055,0.792,0.75,-1.254336132,,
BATSE 1586 p02,L,X,I,2.64,,0,0.379,0.37,0.067,,,,,0.421603927,0.016,0.34,-1.175665981,,
BATSE 1586 p03,L,X,I,15.99,0.97,0.04,0.427,0.612,0.101,1.01E-06,3.98E-08,5.258,0.458,1.203848464,0.686,1.09,-0.993950898,-5.995678626,0.720820582
BATSE 1604 p01,L,X,C,18.87,1.18,0.034,0.544,0.283,0.071,7.20E-07,3.18E-08,2.758,0.269,1.2757719,0.837,1.596,-1.151546155,-6.142607189,0.440594262
BATSE 1611 p01,L,L,C,4.85,0.54,0.09,0.987,0.201,0.037,1.96E-07,1.79E-08,7.016,1.47,0.685741739,0.678,-1.54,-1.437456577,-6.706858517,0.84608958
BATSE 1611 p02,L,L,C,0.46,0.11,0,0.293,0.852,0.122,7.79E-08,1.18E-08,13.128,5.009,-0.337242168,0.025,0.08,-0.915261179,-7.108351056,1.118198568
BATSE 1634 p01,L,S,C,2.52,0.29,0.024,0.122,1.444,0.149,7.13E-07,3.58E-08,15.221,2.02,0.401400541,0.953,-0.14,-0.827897249,-6.146727776,1.182443186
BATSE 1636 p01,L,I,C,2.316,0.3,0.034,0.118,1.188,0.142,3.27E-07,2.27E-08,5.704,0.893,0.364738555,0.938,0.09,-0.848840905,-6.485186705,0.756179517
BATSE 1637 p01,L,X,C,1.268,0.22,0.002,0.269,0.444,0.097,1.15E-07,1.44E-08,19.465,7.135,0.103119254,0.108,-0.053,-1.013260858,-6.938924676,1.289254408
BATSE 1642 p01,L,X,C,108.77,2.94,0.013,1.462,0.253,0.066,2.76E-06,6.26E-08,2.438,0.116,2.036509129,0.995,7.52,-1.18039051,-5.559878397,0.387033701
BATSE 1646 p01,L,L,I,0.57,0.14,0,0.189,0.952,0.156,6.72E-08,1.01E-08,4.3,1.414,-0.244125144,0.027,-0.11,-0.806989586,-7.17276,0.633468456
BATSE 1646 p02,L,L,I,1.76,0.26,0.078,0.206,0.719,0.121,1.29E-07,1.36E-08,2.988,0.685,0.245512668,0.869,-0.15,-0.916301562,-6.891096872,0.475380593
BATSE 1651 p01,L,L,C,4.79,0.47,0.014,0.042,1.741,0.125,1.36E-06,4.50E-08,3.424,0.24,0.680335513,0.978,0.485,-0.902728142,-5.867420152,0.534533756
BATSE 1651 p02,L,L,C,8.69,,0.1,,0.247,0.03,,,,,0.939019776,0.402,,-1.51869869,,
